x-axis,1,2
second,Volt,Volt
-25.02000E-03,,
-24.99500E-03,-512.74214E-03,-14.09391E-03
-24.97000E-03,-512.74214E-03,-13.07318E-03
-24.94500E-03,-512.74214E-03,-13.77984E-03
-24.92000E-03,-512.74214E-03,-14.72205E-03
-24.89500E-03,-511.48586E-03,-15.03612E-03
-24.87000E-03,-511.48586E-03,-15.03612E-03
-24.84500E-03,-511.48586E-03,-13.77984E-03
-24.82000E-03,-511.48586E-03,-13.77984E-03
-24.79500E-03,-511.48586E-03,-13.23021E-03
-24.77000E-03,-511.09327E-03,-13.38725E-03
-24.74500E-03,-510.22958E-03,-13.77984E-03
-24.72000E-03,-510.22958E-03,-15.03612E-03
-24.69500E-03,-510.22958E-03,-13.62280E-03
-24.67000E-03,-509.91551E-03,-13.77984E-03
-24.64500E-03,-510.22958E-03,-13.77984E-03
-24.62000E-03,-508.97330E-03,-12.52356E-03
-24.59500E-03,-508.97330E-03,-12.52356E-03
-24.57000E-03,-507.71702E-03,-11.34579E-03
-24.54500E-03,-507.71702E-03,-12.52356E-03
-24.52000E-03,-507.71702E-03,-13.77984E-03
-24.49500E-03,-506.46074E-03,-13.77984E-03
-24.47000E-03,-505.98963E-03,-14.56501E-03
-24.44500E-03,-506.22518E-03,-15.03612E-03
-24.42000E-03,-505.12594E-03,-15.03612E-03
-24.39500E-03,-504.10521E-03,-13.93687E-03
-24.37000E-03,-502.69189E-03,-15.03612E-03
-24.34500E-03,-500.72895E-03,-15.03612E-03
-24.32000E-03,-500.17933E-03,-15.03612E-03
-24.29500E-03,-497.66677E-03,-14.17242E-03
-24.27000E-03,-497.66677E-03,-13.77984E-03
-24.24500E-03,-495.23272E-03,-13.85835E-03
-24.22000E-03,-493.89792E-03,-14.80057E-03
-24.19500E-03,-491.38536E-03,-13.77984E-03
-24.17000E-03,-491.38536E-03,-13.23021E-03
-24.14500E-03,-490.12908E-03,-13.77984E-03
-24.12000E-03,-488.87280E-03,-13.77984E-03
-24.09500E-03,-488.87280E-03,-15.03612E-03
-24.07000E-03,-487.61652E-03,-14.01539E-03
-24.04500E-03,-486.75282E-03,-14.17242E-03
-24.02000E-03,-486.36023E-03,-14.40798E-03
-23.99500E-03,-483.84767E-03,-13.77984E-03
-23.97000E-03,-483.37657E-03,-13.77984E-03
-23.94500E-03,-482.59139E-03,-12.52356E-03
-23.92000E-03,-480.07883E-03,-13.70132E-03
-23.89500E-03,-477.95885E-03,-12.52356E-03
-23.87000E-03,-476.30998E-03,-13.77984E-03
